Document,Topic_group,Priority
Update the GST number for invoice #100,Billing,Low
Please order a wireless trackpad,Purchase,Low
I cannot view my bonus payout,HR Support,Medium
Account locked due to multiple failed logins,Access,High
The projector bulb has burnt out,Hardware,Medium
We need a subscription for Figma,Purchase,Low
Salary not credited for this month,HR Support,High
I need to reset my RSA token,Access,High
The CPU fan is grinding,Hardware,Medium
Quote needed for 2TB SSDs,Purchase,Low
Customer demands refund for late delivery,Billing,Medium
How do I claim internet reimbursement?,HR Support,Low
I lost my access badge,HR Support,Medium
The water dispenser is leaking,Hardware,Low
Internet is down for the sales team,Hardware,High
I need sudo access on the dev server,Access,Medium
Grant me access to the Git repository,Access,Medium
Screen is flickering pink,Hardware,High
We need to buy a license for Trello Gold,Purchase,Low
Where do I upload my rent agreement?,HR Support,Low
Cannot map the network drive Z:,Access,Medium
The main database server is unreachable,Access,High
Keyboard keys 'E' and 'R' are stuck,Hardware,Low
Requesting a quote for 10 iPads,Purchase,Low
Billing cycle change request for Client Y,Billing,Low
I did not receive my relocation allowance,HR Support,High
Email is not syncing on iOS,Access,Medium
I need a replacement for my laptop charger,Hardware,Medium
We need a new managed switch,Purchase,Medium
AC in the server room is dripping water,Hardware,High
Forgot username for the benefits portal,Access,Medium
How many sick leaves do I have?,HR Support,Low
My laptop won't boot past the logo,Hardware,High
Please order 5 HDMI cables,Purchase,Low
404 error on the internal knowledge base,Access,Medium
Tax deduction is higher than expected,HR Support,Medium
Microphone volume is too low,Hardware,Low
We need to renew our SSL certificate,Purchase,High
Cannot print from the guest network,Access,Medium
Payslip PDF is password protected,HR Support,Low
My external HDD is not detected,Hardware,Medium
I need a larger monitor for coding,Purchase,Low
Software update failed with error 1603,Access,Medium
Client was charged twice for the same service,Billing,High
How do I add a dependent to my insurance?,HR Support,Low
The shredder is full and jammed,Hardware,Low
I need a license for Microsoft Visio,Purchase,Low
Cannot connect to the office WiFi,Access,High
My chair height adjustment is broken,Hardware,Low
Please update the billing contact for account #12,Billing,Low
I need access to the production logs,Access,Medium
Laptop screen is cracked,Hardware,Medium
Where can I find the expense report template?,HR Support,Low
I forgot the password for the admin panel,Access,High
We need to buy 20 mouse pads,Purchase,Low
The conference speakerphone is muffled,Hardware,Low
Invoice #882 is overdue,Billing,Medium
I cannot login to Salesforce,Access,High
My computer freezes when opening Excel,Hardware,Medium
Requesting a standing desk converter,Purchase,Low
Is there a dress code policy?,HR Support,Low
VPN client says 'Certificate Invalid',Access,High
My laptop is overheating when charging,Hardware,Medium
Update address on the next invoice,Billing,Low
Please order a privacy screen filter,Purchase,Low
I cannot access the leave management system,Access,High
System asks for admin rights to install updates,Access,Medium
My headset is only playing audio on one side,Hardware,Low
We need a license for tableau,Purchase,Low
Discrepancy in overtime payment,HR Support,Medium
I need to reset my voicemail PIN,Access,Low
Fan noise is distracting,Hardware,Low
Quote for new firewall appliance,Purchase,Medium
Customer #221 wants a credit note,Billing,Medium
How do I claim LTA?,HR Support,Low
I need a new lanyard for my ID,HR Support,Low
The coffee machine is displaying an error,Hardware,Low
Internet is slow in the break room,Hardware,Low
I need to install Python 3.11,Access,Low
Revoke access for the ex-employee,Access,High
Monitor is too dim even at max brightness,Hardware,Low
We need to buy a license for Asana,Purchase,Low
Where do I submit medical bills?,HR Support,Low
Cannot connect to the LDAP server,Access,High
The backup server is offline,Access,High
Spacebar is squeaking loudly,Hardware,Low
Requesting a quote for a 3D printer,Purchase,Low
Billing issue with vendor X,Billing,Medium
I did not receive my shift allowance,HR Support,Medium
Email signature is not updating,Access,Low
I need a spare power cord,Hardware,Low
We need to purchase a 4K webcam,Purchase,Low
The server room door lock is broken,Hardware,High
Forgot password for the wiki,Access,Medium
How many privilege leaves can I encash?,HR Support,Low
My desktop won't post,Hardware,High
Please order 10 USB-C adapters,Purchase,Low
502 Bad Gateway on the intranet,Access,Medium
TDS deduction is incorrect,HR Support,Medium
Webcam focus is broken,Hardware,Low
We need to renew the Office 365 subscription,Purchase,High
Cannot scan to email,Access,Medium
Payslip portal is down,HR Support,High
My USB drive is corrupted,Hardware,Medium
I need a vertical mouse,Purchase,Low
Application crashes on launch,Access,Medium
Client disputes the hourly rate,Billing,Medium
How do I change my emergency contact?,HR Support,Low
The laminator is overheating,Hardware,Low
I need a license for Sketch,Purchase,Low
Cannot connect to the VPN from home,Access,High
My desk drawer is stuck,Hardware,Low
Please update the PO number on the invoice,Billing,Low
I need access to the analytics dashboard,Access,Medium
Laptop hinge is loose,Hardware,Low
Where can I find the employee handbook?,HR Support,Low
I forgot the root password,Access,High
We need to buy 50 ballpoint pens,Purchase,Low
The TV in the lobby is not working,Hardware,Low
Invoice #771 was sent to wrong email,Billing,Medium
I cannot login to Jira,Access,High
My computer is slow to boot,Hardware,Low
Requesting a footrest,Purchase,Low
What are the core working hours?,HR Support,Low
VPN authentication failed,Access,High
My laptop battery is swelling,Hardware,High
Correction needed on invoice #554,Billing,Low
Please order a laptop stand,Purchase,Low
I cannot access the performance review tool,Access,Medium
System keeps locking me out,Access,High
My headset wire is frayed,Hardware,Low
We need a license for JetBrains All Products,Purchase,Low
Bonus calculation seems wrong,HR Support,Medium
I need to reset my biometrics,Access,Medium
Hard drive makes clicking sound,Hardware,High
Quote for cloud storage expansion,Purchase,Medium
Customer #112 is asking for a discount,Billing,Low
How do I claim mobile bill reimbursement?,HR Support,Low
I need a new parking sticker,HR Support,Low
The vending machine took my money,Hardware,Low
Internet speed is below 1Mbps,Hardware,High
I need to install Node.js,Access,Low
Grant me access to the staging environment,Access,Medium
Screen colors are inverted,Hardware,Medium
We need to buy a license for Monday.com,Purchase,Low
Where do I submit 80C proofs?,HR Support,Low
Cannot access the file server,Access,High
The mail server is blacklisted,Access,High
Enter key is not registering,Hardware,Medium
Requesting a quote for a projector,Purchase,Low
Billing currency needs to be changed to USD,Billing,Low
I did not receive my variable pay,HR Support,High
Email is going to spam,Access,Medium
I need a replacement for my broken mouse,Hardware,Low
We need to purchase a UPS,Purchase,Medium
The fire alarm panel is beeping,Hardware,High
Forgot password for the time tracker,Access,Medium
How many comp offs do I have?,HR Support,Low
My laptop screen is black but power is on,Hardware,High
Please order 20 notepads,Purchase,Low
403 Forbidden on the HR portal,Access,High
Professional tax is deducted twice,HR Support,Medium
Speaker is crackling,Hardware,Low
We need to renew the antivirus license,Purchase,High
Cannot print double-sided,Hardware,Low
Payslip is blank,HR Support,High
My SSD is full,Hardware,Medium
I need a dual monitor arm,Purchase,Low
Software license expired error,Access,High
Client claims they already paid invoice #33,Billing,High
How do I update my marital status?,HR Support,Low
The paper shredder is jammed again,Hardware,Low
I need a license for AutoCAD,Purchase,Low
Cannot connect to the guest WiFi,Access,Low
My chair wheel is broken,Hardware,Low
Please split the invoice into two,Billing,Low
I need access to the marketing folder,Access,Low
Laptop trackpad is unresponsive,Hardware,Medium
Where can I find the sexual harassment policy?,HR Support,Low
I forgot the wifi password,Access,Low
We need to buy 100 markers,Purchase,Low
The digital signage is frozen,Hardware,Low
Invoice #990 is missing tax details,Billing,Medium
I cannot login to Confluence,Access,High
My computer restarts automatically,Hardware,High
Requesting a back support cushion,Purchase,Low
Is it a holiday on Friday?,HR Support,Low
VPN connection dropped,Access,Medium
My laptop runs very hot,Hardware,Medium
Change the billing entity name,Billing,Low
Please order a screen cleaning kit,Purchase,Low
I cannot access the recruitment portal,Access,Medium
System requires a restart loop,Hardware,High
My headset is uncomfortable,Purchase,Low
We need a license for LastPass,Purchase,Low
Salary slip shows wrong designation,HR Support,Medium
I need to reset my PIN,Access,Medium
Fan is not spinning,Hardware,High
Quote for new biometric system,Purchase,Medium
Customer #881 wants to cancel subscription,Billing,High
How do I claim fuel reimbursement?,HR Support,Low
I need a new access card holder,HR Support,Low
The microwave is sparking,Hardware,High
Internet is unstable,Hardware,Medium
I need to install VS Code,Access,Low
Grant me access to the client VPN,Access,Medium
Screen is too bright,Hardware,Low
We need to buy a license for Spotify (Office),Purchase,Low
Where do I submit HRA declaration?,HR Support,Low
Cannot access the shared printer,Access,Medium
The DNS server is not resolving,Access,High
Shift key is stuck,Hardware,Low
Requesting a quote for 5 headsets,Purchase,Low
Billing address zip code is wrong,Billing,Low
I did not receive my referral bonus,HR Support,Medium
Email delivery failed,Access,Medium
I need a replacement for my stolen laptop,Hardware,High
We need to purchase a heavy duty stapler,Purchase,Low
The server room door is jammed,Hardware,High
Forgot password for the expense portal,Access,Medium
How many days of leave can I carry over?,HR Support,Low
My laptop freezes on login,Hardware,High
Please order 5 extension cords,Purchase,Low
500 Internal Server Error on the api,Access,High
PF deduction is missing,HR Support,Medium
Audio jack is loose,Hardware,Low
We need to renew the domain registration,Purchase,High
Cannot scan to folder,Access,Medium
Payslip amount does not match offer letter,HR Support,High
My USB port is physically broken,Hardware,Medium
I need a wireless charger,Purchase,Low
App crashes when saving,Access,Medium
Client requested a breakdown of costs,Billing,Low
How do I add a nominee to PF?,HR Support,Low
The guillotine cutter is blunt,Hardware,Low
I need a license for Premier Pro,Purchase,Low
Cannot connect to the secured WiFi,Access,Medium
My desk is wobbly,Hardware,Low
Please consolidate these two invoices,Billing,Low
I need access to the finance drive,Access,High
Laptop screen has lines running through it,Hardware,Medium
Where can I find the referral policy?,HR Support,Low
I forgot the admin password,Access,High
We need to buy 10 staplers,Purchase,Low
The smart TV remote is missing,Hardware,Low
Invoice #441 is duplicated,Billing,High
I cannot login to GitHub,Access,High
My computer is making a beeping noise,Hardware,Medium
Requesting a wrist rest,Purchase,Low
What are the rules for comp off?,HR Support,Low
VPN refuses connection,Access,High
My laptop battery is dead,Hardware,High
Update the VAT number on invoice,Billing,Low
Please order a webcam cover,Purchase,Low
I cannot access the training portal,Access,Low
System is infected with malware,Access,High
My headset ear cushion is torn,Hardware,Low
We need a license for Zoom Webinar,Purchase,Low
Salary deduction without explanation,HR Support,High
I need to reset my key fob,Access,Medium
Fan is vibrating,Hardware,Low
Quote for office renovation,Purchase,High
Customer #332 wants to upgrade plan,Billing,Low
How do I claim relocation expenses?,HR Support,Low
I need a new business card,HR Support,Low
The toaster is broken,Hardware,Low
Internet is slow for upload,Hardware,Medium
I need to install MySQL Workbench,Access,Low
Grant me access to the UAT environment,Access,Medium
Screen ghosting issue,Hardware,Low
We need to buy a license for Canva,Purchase,Low
Where do I submit investment declaration?,HR Support,Low
Cannot access the backup drive,Access,High
The proxy server is blocking google,Access,High
Caps lock light is not working,Hardware,Low
Requesting a quote for a NAS,Purchase,Low
Billing contact email bounce back,Billing,Medium
I did not receive my night shift allowance,HR Support,Medium
Email keeps asking for password,Access,Medium
I need a replacement for my broken screen,Hardware,Medium
We need to purchase a label printer,Purchase,Low
The server room AC is making noise,Hardware,Medium
Forgot password for the travel portal,Access,Medium
How many leaves do I have pro-rated?,HR Support,Low
My laptop gives electric shocks,Hardware,High
Please order 50 batteries,Purchase,Low
401 Unauthorized on the gateway,Access,High
Tax calculation error in payslip,HR Support,Medium
Bluetooth is not working,Hardware,Low
We need to renew the cloud subscription,Purchase,High
Cannot print in color,Hardware,Low
Payslip is not generated yet,HR Support,Medium
My external drive is clicking,Hardware,High
I need a laptop cooling pad,Purchase,Low
Program refuses to open,Access,Low
Client wants to pay via wire transfer,Billing,Low
How do I change my pension scheme?,HR Support,Low
The binding machine is jammed,Hardware,Low
I need a license for Cinema 4D,Purchase,Low
Cannot connect to the VPN from hotel,Access,Medium
My chair gas lift is broken,Hardware,Low
Please correct the date on invoice #22,Billing,Low
I need access to the legal documents,Access,High
Laptop keyboard backlight is dead,Hardware,Low
Where can I find the resignation policy?,HR Support,Low
I forgot the server password,Access,High
We need to buy 5 scissors,Purchase,Low
The projector remote is not working,Hardware,Low
Invoice #665 needs approval,Billing,Medium
I cannot login to Bitbucket,Access,High
My computer is lagging severely,Hardware,Medium
Requesting a foot pedal,Purchase,Low
What is the notice period policy?,HR Support,Low
VPN client update required,Access,Medium
My laptop charger is sparking,Hardware,High
Remove the tax from invoice #88,Billing,Low
Please order a microfiber cloth,Purchase,Low
I cannot access the onboarding portal,Access,Medium
System update stuck at 99%,Hardware,Medium
My headset is too tight,Purchase,Low
We need a license for Grammarly,Purchase,Low
Salary credited to wrong account,HR Support,High
I need to reset my physical key,Access,High
Fan is clean but still noisy,Hardware,Low
Quote for new CCTV cameras,Purchase,Medium
Customer #774 wants to downgrade,Billing,Low
How do I claim certification cost?,HR Support,Low
I need a new laptop bag,Purchase,Low
The dishwasher is not draining,Hardware,Low
Internet is down in the lobby,Hardware,Medium
I need to install Postman,Access,Low
Grant me access to the sandbox,Access,Medium
Screen burn-in detected,Hardware,Low
We need to buy a license for Miro,Purchase,Low
Where do I submit tax proofs?,HR Support,Low
Cannot access the archive folder,Access,Medium
The web server is down,Access,High
Num lock key is broken,Hardware,Low
Requesting a quote for a scanner,Purchase,Low
Billing cycle alignment needed,Billing,Low
I did not receive my performance bonus,HR Support,High
Email font size is too small,Access,Low
I need a replacement for my keyboard,Hardware,Low
We need to purchase a whiteboard eraser,Purchase,Low
The server rack door is open,Hardware,Low
Forgot password for the procurement portal,Access,Medium
How many sick days are paid?,HR Support,Low
My laptop screen is flickering,Hardware,Medium
Please order 10 network cables,Purchase,Low
400 Bad Request on the API,Access,Medium
Income tax mismatch in Form 16,HR Support,Medium
Headphone jack is broken,Hardware,Low
We need to renew the maintenance contract,Purchase,High
Cannot print A3 size,Hardware,Low
Payslip has incorrect leave balance,HR Support,Low
My SSD is slow,Hardware,Low
I need a document holder,Purchase,Low
App freezes when printing,Access,Medium
Client #99 asked for invoice copy,Billing,Low
How do I withdraw my PF?,HR Support,Low
The hole puncher is broken,Hardware,Low
I need a license for Final Cut Pro,Purchase,Low
Cannot connect to the VPN from mobile,Access,Medium
My chair armrest is loose,Hardware,Low
Please send the receipt for invoice #11,Billing,Low
I need access to the HR confidential folder,Access,High
Laptop bezel is cracked,Hardware,Low
Where can I find the code of conduct?,HR Support,Low
I forgot the database password,Access,High
We need to buy 20 glue sticks,Purchase,Low
The mic on the podium is broken,Hardware,Medium
Invoice #551 is lost,Billing,Medium
I cannot login to GitLab,Access,High
My computer crashes when playing video,Hardware,Medium
Requesting a lumbar support,Purchase,Low
What is the policy for gift acceptance?,HR Support,Low
VPN token expired,Access,High
My laptop battery is not charging,Hardware,High
Add a PO number to invoice #77,Billing,Low
Please order a keyboard cover,Purchase,Low
I cannot access the exit interview link,Access,Medium
System clock is wrong,Access,Low
My headset is mutable but not unmutable,Hardware,Low
We need a license for 1Password,Purchase,Low
Salary hold due to attendance,HR Support,High
I need to reset my smart card,Access,High
Fan speed is uncontrollable,Hardware,Low
Quote for new meeting table,Purchase,Medium
Customer #552 is disputing charges,Billing,High
How do I claim food allowance?,HR Support,Low
I need a new security token,Access,High
The fridge is not cooling,Hardware,Low
Internet is intermittent,Hardware,Medium
I need to install Ruby,Access,Low
Grant me access to the demo environment,Access,Medium
Screen has a vertical line,Hardware,Medium
We need to buy a license for AirTable,Purchase,Low
Where do I submit rent receipts?,HR Support,Low
Cannot access the public folder,Access,Low
The FTP server is slow,Access,Medium
Delete key is stuck,Hardware,Low
Requesting a quote for a shredder,Purchase,Low
Billing period is wrong on invoice,Billing,Low
I did not receive my conveyance allowance,HR Support,Medium
Email attachments are blocked,Access,Medium
I need a replacement for my mouse pad,Purchase,Low
We need to purchase a cable organizer,Purchase,Low
The server room light is out,Hardware,Low
Forgot password for the learning portal,Access,Medium
How many maternity leaves are allowed?,HR Support,Low
My laptop is making a grinding noise,Hardware,High
Please order 5 power strips,Purchase,Low
408 Request Timeout,Access,Medium
Tax code is wrong on payslip,HR Support,Medium
Speakers are buzzing,Hardware,Low
We need to renew the lease,Purchase,High
Cannot print from Chrome,Access,Low
Payslip shows zero earnings,HR Support,High
My flash drive is write protected,Hardware,Low
I need a privacy filter,Purchase,Low
Program crashes on startup,Access,Medium
Client #12 wants to pay by check,Billing,Low
How do I update my address in HR records?,HR Support,Low
The stapler is jammed,Hardware,Low
I need a license for CorelDraw,Purchase,Low
Cannot connect to the VPN via hotspot,Access,Medium
My chair backrest is broken,Hardware,Low
Please void invoice #44,Billing,Medium
I need access to the strategy documents,Access,High
Laptop rubber feet are missing,Hardware,Low
Where can I find the safety manual?,HR Support,Low
I forgot the wifi user,Access,Low
We need to buy 100 paper clips,Purchase,Low
The HDMI port on the TV is broken,Hardware,Medium
Invoice #332 is underpaid,Billing,Medium
I cannot login to Azure DevOps,Access,High
My computer is infected with a virus,Access,High
Requesting a desk lamp,Purchase,Low
What is the policy for sabbaticals?,HR Support,Low
VPN client is outdated,Access,Medium
My laptop shuts down at 20% battery,Hardware,Medium
Change the date on invoice #99,Billing,Low
Please order a screen wipe,Purchase,Low
I cannot access the survey tool,Access,Low
System fan error on boot,Hardware,High
My headset has static noise,Hardware,Low
We need a license for Dropbox,Purchase,Low
Salary delayed by 2 days,HR Support,Medium
I need to reset my password manager,Access,High
Fan is making a clicking sound,Hardware,Low
Quote for new reception desk,Purchase,Medium
Customer #993 requests a pro-forma invoice,Billing,Low
How do I claim telephone reimbursement?,HR Support,Low
I need a new gym membership card,HR Support,Low
The kettle is broken,Hardware,Low
Internet is slow in the lab,Hardware,Medium
I need to install Git,Access,Low
Grant me access to the production DB,Access,High
Screen has a dead pixel,Hardware,Low
We need to buy a license for LucidChart,Purchase,Low
Where do I submit tax saving documents?,HR Support,Low
Cannot access the team folder,Access,Medium
The mail server is down,Access,High
Tab key is broken,Hardware,Low
Requesting a quote for a plotter,Purchase,Low
Billing contact name is wrong,Billing,Low
I did not receive my holiday pay,HR Support,High
Email images are not loading,Access,Low
I need a replacement for my laptop battery,Hardware,Medium
We need to purchase a desk organizer,Purchase,Low
The server room floor is wet,Hardware,High
Forgot password for the insurance portal,Access,Medium
How many days of paternity leave?,HR Support,Low
My laptop screen is loose,Hardware,Medium
Please order 2 extension cables,Purchase,Low
503 Service Unavailable,Access,High
Tax deducted but not reflected,HR Support,High
Microphone is mute,Hardware,Low
We need to renew the gym membership,Purchase,Low
Cannot print to PDF,Access,Low
Payslip font is unreadable,HR Support,Low
My external SSD is overheating,Hardware,Medium
I need a laptop stand with fan,Purchase,Low
App is slow to respond,Access,Low
Client #55 has not paid invoice #12,Billing,High
How do I change my bank for salary?,HR Support,Low
The scissors are dull,Hardware,Low
I need a license for Maya,Purchase,Low
Cannot connect to the VPN from airport,Access,Medium
My chair is squeaking,Hardware,Low
Please resend invoice #66,Billing,Low
I need access to the audit logs,Access,High
Laptop paint is chipping,Hardware,Low
Where can I find the social media policy?,HR Support,Low
I forgot the api key,Access,Medium
We need to buy 50 rubber bands,Purchase,Low
The projector is overheating,Hardware,Medium
Invoice #221 has arithmetic error,Billing,Medium
I cannot login to Trello,Access,Medium
My computer has a black screen,Hardware,High
Requesting a monitor riser,Purchase,Low
What is the policy for moonlighting?,HR Support,Low
VPN certificate expired,Access,High
My laptop battery is bulging,Hardware,High
Remove the discount from invoice #44,Billing,Low
Please order a cleaning spray,Purchase,Low
I cannot access the feedback form,Access,Low
System keeps rebooting,Hardware,High
My headset mic is loose,Hardware,Low
We need a license for Evernote,Purchase,Low
Salary includes unauthorized deduction,HR Support,High
I need to reset my 2FA,Access,High
Fan is always on max speed,Hardware,Low
Quote for new carpet,Purchase,Low
Customer #662 wants to pay via PayPal,Billing,Low
How do I claim book allowance?,HR Support,Low
I need a new parking tag,HR Support,Low
The fan in the pantry is broken,Hardware,Low
Internet is slow for download,Hardware,Medium
I need to install Java,Access,Low
Grant me access to the test server,Access,Medium
Screen is tinted yellow,Hardware,Low
We need to buy a license for Basecamp,Purchase,Low
Where do I submit flexi benefit plan?,HR Support,Low
Cannot access the archive,Access,Low
The NTP server is unreachable,Access,Medium
Esc key is not working,Hardware,Low
Requesting a quote for a camera,Purchase,Low
Billing address is incomplete,Billing,Low
I did not receive my bonus letter,HR Support,Low
Email is slow to send,Access,Low
I need a replacement for my headset,Hardware,Low
We need to purchase a file cabinet,Purchase,Low
The server room humidity is high,Hardware,High
Forgot password for the payroll system,Access,High
How many days of bereavement leave?,HR Support,Low
My laptop is missing a screw,Hardware,Low
Please order 10 USB drives,Purchase,Low
504 Gateway Timeout,Access,High
Tax receipt is missing,HR Support,Medium
Headphones are too quiet,Hardware,Low
We need to renew the internet plan,Purchase,High
Cannot print envelope,Hardware,Low
Payslip needs a stamp,HR Support,Low
My SD card is stuck,Hardware,Low
I need a tablet stand,Purchase,Low
App crashes on save,Access,Medium
Client #77 is asking for credit,Billing,Medium
How do I change my tax regime?,HR Support,Low
The tape dispenser is broken,Hardware,Low
I need a license for Blender,Purchase,Low
Cannot connect to the VPN from cafe,Access,Medium
My chair fabric is torn,Hardware,Low
Please issue a refund for invoice #88,Billing,Medium
I need access to the board meeting minutes,Access,High
Laptop connects to wifi but no internet,Access,Medium
Where can I find the whistleblower policy?,HR Support,Low
I forgot the master password,Access,High
We need to buy 20 sticky notes,Purchase,Low
The TV has no signal,Hardware,Low
Invoice #112 is fraudulent,Billing,High
I cannot login to Slack,Access,High
My computer is very hot,Hardware,High
Requesting a gel mouse pad,Purchase,Low
What is the policy for dating coworkers?,HR Support,Low
VPN is slow,Access,Medium
My laptop battery charge fluctuates,Hardware,Medium
Add a comment to invoice #33,Billing,Low
Please order a dusting brush,Purchase,Low
I cannot access the voting system,Access,Low
System hangs on shutdown,Hardware,Low
My headset is broken in half,Hardware,Medium
We need a license for Notion,Purchase,Low
Salary credited twice,HR Support,High
I need to reset my authenticator app,Access,High
Fan is making a whistling noise,Hardware,Low
Quote for new blinds,Purchase,Low
Customer #442 wants to extend payment terms,Billing,Medium
How do I claim newspaper allowance?,HR Support,Low
I need a new locker key,HR Support,Low
The stove is not working,Hardware,Low
Internet is restricted,Access,Medium
I need to install C++,Access,Low
Grant me access to the devops tools,Access,High
Screen is scratched,Hardware,Low
We need to buy a license for Typeform,Purchase,Low
Where do I submit rent agreement?,HR Support,Low
Cannot access the private folder,Access,High
The DHCP server is full,Access,High
Home key is stuck,Hardware,Low
Requesting a quote for a drone,Purchase,Low
Billing state is wrong,Billing,Low
I did not receive my confirmation letter,HR Support,Medium
Email is marking good mail as spam,Access,Medium
I need a replacement for my docking station,Hardware,Medium
We need to purchase a coat rack,Purchase,Low
The server room is dirty,Hardware,Low
Forgot password for the crm,Access,High
How many days of marriage leave?,HR Support,Low
My laptop touchpad is erratic,Hardware,Medium
Please order 3 displayport cables,Purchase,Low
Connection refused error,Access,High
Tax statement is unclear,HR Support,Low
Speakers are popping,Hardware,Low
We need to renew the cleaning contract,Purchase,Low
Cannot print label,Hardware,Low
Payslip is formatted wrong,HR Support,Low
My memory card is unreadable,Hardware,Medium
I need a phone stand,Purchase,Low
App is unresponsive,Access,Medium
Client #33 has a question about invoice #55,Billing,Low
How do I update my mobile number?,HR Support,Low
The glue gun is broken,Hardware,Low
I need a license for Unity,Purchase,Low
Cannot connect to the VPN from train,Access,Medium
